id,Nama,Usia,Posisi,Skor kemampuan,Harga Pasar
1,Pedri,22,Gelandang,90,€165M
2,Lamine Yamal,17,Penyerang,89,€147M
3,J. Bellingham,22,Gelandang,89,€150.5M
4,João Neves,20,Gelandang,88,€135M
5,J. Musiala,22,Gelandang,87,€116.5M
6,F. Wirtz,22,Gelandang,87,€116.5M
7,D. Doué,20,Gelandang,86,€101M
8,Nico Williams,22,Penyerang,85,€75M
9,B. Barcola,22,Penyerang,84,€61.5M
10,M. Rogers,22,Gelandang,84,€56M
11,R. Cherki,21,Penyerang,84,€61.5M
12,Pau Cubarsí,18,Bek,83,€48M
13,Fermín,22,Gelandang,83,€53M
14,Pablo Barrios,22,Gelandang,83,€52.5M
15,W. Zaïre-Emery,19,Gelandang,83,€55M
16,A. Güler,20,Gelandang,83,€56.5M
17,Gavi,20,Gelandang,83,€51M
18,Balde,21,Bek,83,€49.5M
19,Murillo,22,Bek,82,€40M
20,K. Yıldız,20,Gelandang,82,€60.5M
21,Nico Paz,20,Gelandang,82,€60.5M
22,A. Pavlović,21,Gelandang,82,€43M
23,Moleiro,21,Gelandang,82,€47M
24,E. Anderson,22,Gelandang,82,€40.5M
25,Giuliano,22,Penyerang,82,€44.5M
26,X. Simons,22,Penyerang,82,€42.5M
27,D. Huijsen,20,Bek,81,€47.5M
28,N. O'Reilly,20,Gelandang,81,€35.5M
29,Savinho,21,Penyerang,81,€39.5M
30,Álvaro Carreras,22,Penyerang,81,€38.5M
31,L. Hall,20,Bek,81,€35.5M
32,C. Lukeba,22,Gelandang,81,€37.5M
33,M. Kerkez,21,Bek,81,€35M
34,A. Wharton,21,Gelandang,81,€38M
35,S. Lammens,22,Kiper,81,€33.5M
36,E. Camavinga,22,Gelandang,81,€37.5M
37,Y. Diomande,18,Penyerang,81,€54.5M
38,Jauregizar,21,Gelandang,80,€33.5M
39,M. Kayode,20,Bek,80,€29M
40,A. Khusanov,21,Bek,80,€31M
41,Andrey Santos,21,Gelandang,80,€42.5M
42,C. Baleba,21,Gelandang,80,€31M
43,Y. Minteh,20,Penyerang,80,€33M
44,O. Diomande,21,Bek,80,€40M
45,N. Brown,22,Bek,80,€31.5M
46,Pubill,22,Bek,80,€40M
47,R. Roefs,22,Kiper,80,€27.5M
48,L. Colwill,22,Bek,80,€27.5M
49,T. Livramento,22,Bek,80,€31.5M
50,A. Scott,21,Gelandang,80,€31M
51,B. Šeško,22,Penyerang,80,€43M
52,P. Sarr,22,Gelandang,80,€32M
53,I. Zabarnyi,22,Bek,80,€29.5M
54,B. Verbruggen,22,Kiper,80,€27.5M
55,M. Beier,22,Penyerang,80,€31M
56,Amad,22,Penyerang,80,€32.5M
57,V. Froholdt,19,Gelandang,79,€38M
58,Samu,21,Penyerang,79,€39.5M
59,L. Camara,21,Gelandang,79,€28M
60,I. Maza,19,Gelandang,79,€38M
